From,To,Weight,Relation Type
AG014,RM001,2,situational
AG014,KD002,1,situational
BE010,JB009,6,professional
BE010,RB003,1,situational
BE010,RM001,10,benefits
BE010,PI008,1,friends
BE010,JM013,1,situational
DC016,RM001,1,professional
DC016,DO006,1,professional
DO006,GT015,2,professional
DO006,RM001,16,friends
EM017,RM001,4,family
GT015,RM001,2,professional
GT015,KD002,5,professional
JB009,RM001,3,situational
JB009,KD002,2,situational
JO007,DO006,3,situational
JO007,RM001,5,situational
JO007,KD002,10,professional
JM013,RM001,7,family
JM013,Y004,4,situational
KD002,DO006,12,friends
KD002,RM001,23,friends
KD002,Y004,6,romantic
KD002,JM013,2,situational
MM019,RM001,3,family
PI008,RM001,2,professional
P012,KD002,2,romantic
P012,RM001,1,situational
PO005,BD018,1,benefits
PO005,PI008,7,benefits
PO005,RM001,8,situational
PO005,DO006,1,situational
PO005,KD002,3,situational
PO005,DC016,2,professional
PO005,JO007,4,family
RB003,DC011,2,romantic
RB003,RM001,1,situational
Y004,RM001,3,situational
