from,to,weight,type
Alan,Chandler Bing,1,friends
Angela,Bob,1,date
Angela,Monica Geller,1,acquaintances
Chandler Bing,Monica Geller,4,friends
Chandler Bing,Ross Geller,5,friends
Chandler Bing,Janice,2,ex
Chandler Bing,Aurora,2,date
David,Max,2,work
Frannie,Monica Geller,1,work
Geller Dad,Monica Geller,3,family
Geller Dad,Joey Tribbiani,1,acquaintances
Geller Mom,Monica Geller,5,family
Janice,Phoebe Buffay,1,acquaintances
Joey Tribbiani,Monica Geller,8,friends
Joey Tribbiani,Chandler Bing,11,friends
Joey Tribbiani,Ross Geller,5,friends
Joey Tribbiani,Rachel Green,2,friends
Joey Tribbiani,Angela,1,ex
Joey Tribbiani,Sandy,1,date
Monica Geller,Ross Geller,10,siblings
Monica Geller,Rachel Green,8,friends
Monica Geller,Paul,2,date
Monica Geller,Alan,2,date
Monica Geller,Fun Bobby,1,date
Mr. Heckles,Rachel Green,1,neighbours
Mr. Heckles,Phoebe Buffay,1,acquaintances
Paolo,Phoebe Buffay,1,acquaintances
Phoebe Buffay,Monica Geller,3,friends
Phoebe Buffay,Ross Geller,2,friends
Phoebe Buffay,Rachel Green,5,friends
Phoebe Buffay,Chandler Bing,3,friends
Phoebe Buffay,David,4,date
Rachel Green,Ross Geller,4,friends
Rachel Green,Rachel's Dad,1,family
Rachel Green,Barry,2,ex
Rachel Green,Joey Tribbiani,1,friends
Rachel Green,Mindy,1,friends
Rachel Green,Paolo,3,date
Rachel Green,Chandler Bing,4,friends
Rachel Green,Terry,1,work
Ross Geller,Joey Tribbiani,4,friends
Ross Geller,Chandler Bing,8,friends
Ross Geller,Rachel Green,7,friends
Ross Geller,Carol Willick,3,ex
Ross Geller,Monica Geller,2,siblings
Ross Geller,Paolo,1,competition
Ross Geller,Geller Mom,2,family
Ross Geller,Marcel,2,pet
Susan Bunch,Ross Geller,3,competition
