name,sex,episode
Alan,M,3
Angela,F,5
Aurora,F,6
Barry,M,2
Bob,M,2
Carol Willick,F,1
Chandler Bing,M,1
David,M,10
Frannie,F,1
Fun Bobby,M,10
Geller Dad,M,2
Geller Mom,F,2
Janice,F,5
Joey Tribbiani,M,1
Max,M,10
Mindy,F,4
Monica Geller,F,1
Mr. Heckles,M,7
Paolo,M,7
Paul,M,1
Phoebe Buffay,F,1
Rachel Green,F,1
Rachel's Dad,M,1
Ross Geller,M,1
Sandy,F,10
Susan Bunch,F,2
Terry,M,9
Marcel,M,9
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Susan Bunch,,
