from ,to ,weight,relationship,dialogues exchanged
1,5,8,family,5
4,6,9,friends,10
4,5,6,family,3
7,4,2,friends,1
8,4,2,friends,1
7,6,3,friends,1
8,6,3,friends,1
9,6,3,friends,1
10,6,1,acquaintance,1
10,7,1,acquaintance,1
10,8,1,acquaintance,1
10,9,1,acquaintance,1
11,12,7,boss,12
1,13,4,friends,3
1,14,4,friends,3
10,15,3,acquaintance,2
10,4,5,friends,2
16,11,1,acquaintance,3
17,18,3,friends,4
19,20,5,friends,2
21,16,1,acquaintance,1
22,5,2,teacher,2
1,11,2,boss,3
23,1,1,celebrity,2
1,2,9,family,3
4,1,6,family,2
24,1,1,colleagues,4
24,11,1,colleagues,2
4,3,7,family,3
4,2,8,family,5
25,2,5,friends,3
18,5,1,acquaintance,3
17,5,1,acquaintance,2
17,1,5,friends,1
18,1,3,friends,2
28,16,1,colleagues,1
2,3,8,family,0
5,3,8,family,1
5,2,8,family,1
6,25,8,family,0
26,27,2,colleagues,1
19,1,5,family,0
29,27,8,family,0
10,29,1,acquaintance,1
