id,name,sex,species,job
1,Bojack Horseman,M,Horse,Actor
2,Princess Carolyn,F,Cat,Agent
3,Todd Chavez,M,Human,NA
4,Diane Nguyen,F,Human,Ghostwriter
5,Mr. Peanubutter,M,Dog,Actor
6,Herb Kazzaz,M,Human,Director
7,Stuart,M,Human,Assistant 
8,Corduroy Jackson,M,Human,Actor
9,Vincent,M,Human,NA
10,Lenny Turteltaub,M,Turtle,Producer 
11,Kelsey Jannings,F,Human ,Director
12,Sebastian St.Clair,M,Tiger,Philanthropist
13,Rutabaga,M,Rabbit,Agent 
14,Charley Witherspoon,M,Frog,Agent
15,Beatrice Horseman,F,Horse,NA
16,Butterscotch Horseman,M,Horse,Novelist
