name,sex,nationality,race,birthyear,season
Pablo Escobar,M,Colombian,White,1949,2
Javier Pena,M,American,White,1948,3
Steve Murphy,M,American,White,1957,2
Gustavo Gaveria,M,Colombian,White,1946,1
La Quica,M,Colombian,Black,1965,2
Tata Escobar,F,Colombian,White,1961,2
Valeria Velez,F,Colombian,White,1949,2
Luis Fernando Duque,M,Colombian,White,1952,2
Gilberto Rodriguez,M,Colombian,White,1939,3
Miguel Rodriguez,M,Colombian,White,1943,3
Hermilda Gaveria,F,Colombian,White,1917,1
Fabio Ochoa,M,Colombian,White,1957,1
Jorge Luis Ochoa,M,Colombian,White,1950,1
Carlos Lehder,M,German,White,1949,1
El Navegante,M,Colombian,White,1946,3
Cesar Gaveria,M,Colombian,White,1947,3
José Gonzalo Rodríguez Gacha,M,Puerto Rican,Black,1947,1
Hugo Martinez,M,Colombian,White,1941,2
El Lion,M,American,White,1969,1
Diana Turbay,F,Colombian,White,1950,2
