from,to,weightage,relationship,relationship_changed
1,2,1,NA,NA
1,3,15,Professional,Professional
1,4,20,Competition,Close Friend
1,11,4,NA,NA
1,9,1,Stranger,Friend
1,6,32,Best Friend,Best Friend
1,12,5,Professional,Romantic
1,13,3,NA,NA
1,14,4,NA,NA
1,15,1,NA,NA
1,8,3,Family,Family
3,6,1,Professional,Professional
4,11,1,Professional,Professional
4,3,6,Professional,Romantic
5,1,7,Professional,Friend
5,14,1,Professional,Professional
5,8,1,Friend,Friend
5,6,1,Professional,Friend
6,5,2,Professional,Friend
6,16,1,NA,NA
6,14,3,NA,NA
