id,name,sex,race,birthyear,role,appearanceseason
1,Shawn Spencer,M,White,1977,Psychic Detective,1
2,Suspect1,M,White,NA,Criminal,1
3,Lucinda Barry,F,White,NA,Police Officer,1
4,Carlton Lassiter,M,White,1968,SBPD Head Detective,1
5,Karen Vick,F,White,1968,SBPD Chief,1
6,Burton Guster,M,Black,1977,Pharmaceutical Salesman,1
7,Juliet Lynn O'Hara,F,White,1981,SBPD Detective,1
8,Henry Spencer,M,White,1958,Retired SBPD Detective,1
9,Buzz McNab,M,White,1975,SBPD Junior Detective,1
10,Woody Strode,M,White,1954,Coroner,1
11,Reception Lady,F,Black,NA,Police Officer,1
12,Katarina McCallum,F,Other,NA,Heiress,1
13,Police Artist,M,White,NA,Sketch Artist,1
14,Mr. McCallum,M,White,NA,Rich Guy,1
15,Kingfisher,M,White,NA,Patrol Officer,1
16,Thrift Store Guy,M,White,NA,Worker,1
