from;to;weight;type
1;5;3;friend
2;4;6;colleague
4;3;8;colleague
1;4;3;colleague
7;6;2;colleague
1;2;12;colleague
2;16;2;colleague
1;16;2;colleague
3;10;4;professional
12;10;1;professional
10;11;2;family
2;17;2;colleague
4;10;2;professional
2;8;1;colleague
4;11;3;professional
2;18;1;professional
6;23;2;professional
2;22;3;professional
1;22;3;professional
4;6;3;colleague
3;15;1;colleague
2;24;1;professional
6;8;2;colleague
4;12;1;colleague
4;9;3;family
4;8;2;colleague
4;7;2;colleague
7;9;2;colleague
6;13;2;colleague
2;3;3;friend
2;17;1;professional
1;8;2;friend
3;19;2;professional
4;19;5;professional
19;20;3;family
4;20;3;professional
1;19;1;professional
1;20;1;professional
2;21;3;professional
1;21;3;professional
4;14;1;colleague
1;3;1;colleague
3;7;1;colleague
3;8;1;colleague
3;6;1;colleague
1;6;1;colleague
