Character_Name,Sex,Alive_or_Dead,Jobs,Murders_Deaths_Connected_to ,No_of_Episodes,Groups
Walter White ,M,Dead,Chemist,201,62,Male
Jesse Pinkman ,M,Alive,Unemployed,8,62,Female
Gus Fring ,M,Dead,Businessman ,27,24,Male
Hank Schrader ,M,Dead,Policeman,2,51,Male
Skyler White ,F,Alive,Corporate,0,61,Female
Mike Ehrmantraut ,M,Dead,Hitman,9,25,Male
Saul Goodman ,M,Alive,Businessman ,11,36,Male
Junior ,M,Alive,Student,0,53,Male
Gale Boetticher ,M,Dead,Chemist,0,7,Male
Ted Beneke,M,Alive,Corporate,0,13,Male
Marie Schrader ,M,Alive,Corporate,0,50,Female
Tuco Salamanca ,M,Dead,Unemployed,2,4,Male
Skinny Pete,M,Alive,Unemployed,0,15,Male
Jane Margolis ,F,Dead,Artist,0,9,Female
Tyrus Kitt,M,Dead,Security,0,10,Male
Steven Gomez,M,Dead,Policeman,0,33,Male
Lydia Rodarte-Quayle,F,Dead,Corporate,21,9,Female
Todd Alquist ,M,Dead,Unemployed,13,11,Male
Hector Salamanca ,M,Dead,Unemployed,2,8,Male
