Code,Names,Gender,Occupation,Height,personality
1,Jake,m,detective,mid,E
2,Amy,f,detective,mid,A
3,Gina,f,assistant,mid,E
4,Charles,m,detective,short,A
5,Holt,m,captain,tall,I
6,Terry,m,sergeant,tall,A
7,Kevin,m,professor,tall,I
8,Cheddar,m,dog,short,E
9,Scully,m,detective,tall,A
10,Hitchcock,m,detective,mid,A
11,Doug Judy,m,criminal,tall,E
12,Rosa,f,detective,tall,E
13,Pimento,m,detective,tall,E
14,Vulture,m,detective,tall,E
15,Trudy Judy,f,nil,short,A
16,Teddy,m,detective,tall,I
17,Jason ,m,captain,tall,A
18,Lt. Hawkins,f,sergeant,mid,E
19,Wuntch,f,captain,short,E
20,Nikolaj,m,kid,short,I
21,Bill,m,salesperson,short,I
22,Mlepnos,m,nil,short,I
