name,ID,sex,role,pers-trait,obsessions
Jake Peralta,1,M,Detective,immature,Die Hard
Rosa Diaz,2,F,Detective,violent,Swords
Terry Jeffords,3,M,Sargeant,protective,Yogurt
Amy Santiago,4,F,Detective,competitive,Binders
Charles Boyle,5,M,Detective,eccentric,food
Gina Linetti,6,F,Personal Assistant,narcissistic,herself
Raymond Holt,7,M,Captain,serious,discipline
Michael Hitchcock,8,M,Detective,lazy,food
Norm Scully,9,M,Detective,lazy,food
Milepnos,10,M,Citizen,confused,dance
Doug Judy,11,M,Criminal,immature,Die Hard
Vulture,12,M,Captain,obnoxious,power
Sharron Jeffords,13,F,Family,kind,kids
Kevin Cozner,14,M,Family,serious,discipline
Bob Anderrson,15,M,FBI Agent,serious,discipline
Trudy Judy,16,F,Criminal,cunning,boys
Nikolaj Boyle,17,M,Family,kind,police toys
Adrian Pimento,18,M,Detective,violent,self harm
Maura Figgis,19,F,Criminal,violent,Charles Boyle
Steve Boyle,20,M,Family,attention seeking,cousins
